label,file,paper_id,total_nodes,total_edges,pw_node_count,pw_top_level_count,pw_total_cites,pw_avg_cites,single_cite_pw_share,has_anchor,anchor_cite_share,pw_branching,lim_node_count,lim_total_cites,lim_avg_cites,lim_specificity,lim_scope_avg_cites,lim_scope_sample_count,addresses_density,method_node_count,method_component_count,method_total_cites,method_avg_cites,method_to_lim_addresses,method_branching,method_pw_reach_avg,max_width,graph_longest_path,distinct_zones_used,branching_factor,convergence_factor,complexity_score,avg_node_degree,sum_node_degree,elaboration_pct,contrast_pct,consequence_pct,evidence_pct,addresses_pct,contribution_count,result_count,proof_count,fork_count,join_count,total_cites,cite_density
ai,FA0001.json,FA0001,17,19,4,1,3,0.75,0.75,1,0.333,1,3,1,0.333,2,0.0,0,0.429,4,2,0,0.0,3,2.25,1.0,3,12,5,3.0,2.5,36,2.235,38,0.632,0.105,0.105,0.0,0.158,3,0,0,4,2,8,0.471
ai,FA0005.json,FA0005,15,16,1,1,0,0.0,0.0,0,0.0,0,1,0,0.0,1,0.0,0,0.286,3,0,0,0.0,0,2.0,1.0,4,13,5,4.0,3.0,52,2.133,32,0.75,0.062,0.062,0.0,0.125,4,0,0,1,1,4,0.267
ai,FA0006.json,FA0006,14,15,1,1,1,1.0,1.0,1,1.0,0,2,0,0.0,2,1.0,2,0.286,4,3,0,0.0,2,2.0,1.0,3,12,5,3.0,2.0,36,2.143,30,0.667,0.067,0.067,0.067,0.133,3,0,0,2,2,3,0.214
ai,FA0007.json,FA0007,15,18,2,1,3,1.5,0.0,1,1.0,0,5,0,0.0,3,3.0,5,0.6,2,1,0,0.0,3,2.5,2.0,3,13,6,2.5,2.333,39,2.4,36,0.667,0.056,0.056,0.056,0.167,3,2,0,4,3,3,0.2
ai,FA0008.json,FA0008,15,18,2,1,4,2.0,0.0,0,0.0,0,3,0,0.0,3,4.0,3,0.429,4,0,0,0.0,3,2.25,2.0,3,13,5,2.5,2.0,39,2.4,36,0.667,0.056,0.111,0.0,0.167,3,0,0,4,4,4,0.267
ai,FA0011.json,FA0011,17,18,4,3,4,1.0,0.5,1,0.25,0,1,0,0.0,1,1.0,1,0.25,5,0,0,0.0,2,1.4,4.0,3,12,6,3.333,3.0,36,2.118,36,0.556,0.167,0.111,0.056,0.111,3,2,0,3,1,6,0.353
ai,FA0012.json,FA0012,15,18,2,1,3,1.5,0.5,1,0.333,0,4,0,0.0,0,1.0,4,1.0,1,0,0,0.0,0,2.0,2.0,3,13,6,2.2,2.333,39,2.4,36,0.611,0.0,0.111,0.056,0.222,3,4,0,5,3,3,0.2
ai,FA0013.json,FA0013,15,16,2,1,1,0.5,0.5,1,1.0,0,2,2,1.0,1,1.0,2,0.4,2,0,1,0.5,2,3.0,2.0,3,13,6,3.0,3.0,39,2.133,32,0.5,0.125,0.188,0.062,0.125,3,3,0,2,1,9,0.6
ai,FA0018.json,FA0018,12,14,2,1,2,1.0,1.0,1,0.5,0,3,0,0.0,3,1.0,3,0.5,3,0,0,0.0,3,2.667,2.0,3,10,5,2.667,2.0,30,2.333,28,0.429,0.071,0.286,0.0,0.214,3,0,0,3,3,3,0.25
ai,FA0021.json,FA0021,15,17,3,1,3,1.0,0.333,1,0.333,0,3,0,0.0,3,1.0,3,0.6,2,0,0,0.0,3,3.0,3.0,3,13,6,3.5,2.0,39,2.267,34,0.412,0.059,0.235,0.118,0.176,3,3,0,2,3,3,0.2
ai,FA0022.json,FA0022,17,19,2,1,1,0.5,0.5,1,1.0,0,4,0,0.0,2,1.0,4,0.5,3,0,0,0.0,3,2.667,2.0,3,13,6,2.75,2.5,39,2.235,38,0.474,0.053,0.158,0.158,0.158,3,3,0,4,2,3,0.176
ai,FA0025.json,FA0025,14,17,2,1,1,0.5,0.5,1,1.0,0,1,0,0.0,1,1.0,1,0.429,3,2,2,0.667,2,3.0,2.0,4,10,6,3.0,3.0,40,2.429,34,0.471,0.118,0.118,0.118,0.176,4,1,0,3,2,6,0.429
ai,FA0027.json,FA0027,16,19,1,1,1,1.0,1.0,1,1.0,0,4,0,0.0,3,1.0,4,0.5,2,0,0,0.0,3,3.5,1.0,4,12,6,2.75,2.0,48,2.375,38,0.526,0.053,0.158,0.105,0.158,4,2,0,4,4,5,0.312
ai,FA0028.json,FA0028,19,22,4,2,3,0.75,0.75,1,0.333,1,1,0,0.0,1,1.0,1,0.5,3,0,0,0.0,1,2.333,4.0,3,17,6,2.25,3.0,51,2.316,44,0.5,0.182,0.136,0.045,0.136,3,1,0,4,2,8,0.421
ai,FA0032.json,FA0032,18,20,2,2,2,1.0,1.0,1,0.5,0,3,0,0.0,3,1.0,3,0.375,5,2,1,0.2,3,1.6,2.0,3,16,6,2.25,2.0,48,2.222,40,0.5,0.15,0.15,0.05,0.15,3,4,0,4,3,3,0.167
ai,FA0034.json,FA0034,13,15,3,3,3,1.0,0.333,1,0.333,0,2,0,0.0,2,1.5,2,0.6,2,0,0,0.0,2,3.0,3.0,3,12,5,3.0,2.5,36,2.308,30,0.467,0.133,0.2,0.0,0.2,3,0,0,2,2,3,0.231
ai,FA0035.json,FA0035,16,18,2,2,1,0.5,0.5,1,1.0,0,3,0,0.0,2,1.0,3,0.333,3,0,0,0.0,2,2.0,2.0,3,13,6,2.25,2.0,39,2.25,36,0.611,0.111,0.056,0.111,0.111,3,1,0,4,3,5,0.312
ai,FA0038.json,FA0038,17,18,5,1,4,0.8,0.8,1,0.25,1,2,0,0.0,2,1.0,2,0.25,5,0,0,0.0,0,1.4,4.0,3,14,5,2.333,2.0,42,2.118,36,0.611,0.167,0.111,0.0,0.111,3,0,0,3,2,5,0.294
ai,FA0041.json,FA0041,15,17,2,2,2,1.0,1.0,1,0.5,0,2,0,0.0,2,1.0,2,0.25,5,0,0,0.0,0,1.4,2.0,3,11,6,4.0,2.5,33,2.267,34,0.588,0.118,0.118,0.059,0.118,3,1,0,2,2,5,0.333
ai,FA0047.json,FA0047,14,16,2,1,1,0.5,0.5,1,1.0,0,1,0,0.0,1,1.0,1,0.6,2,0,0,0.0,0,1.0,2.0,3,13,6,3.0,4.0,39,2.286,32,0.438,0.125,0.125,0.125,0.188,3,3,0,1,1,4,0.286
ai,FA0058.json,FA0058,17,19,1,1,2,2.0,0.0,1,1.0,0,5,1,0.2,3,2.0,5,0.5,2,0,0,0.0,0,2.5,1.0,4,15,5,4.0,2.0,60,2.235,38,0.737,0.053,0.053,0.0,0.158,4,0,0,1,3,5,0.294
ai,FA0063.json,FA0063,21,20,4,1,1,0.25,0.25,1,0.0,0,0,0,0.0,0,0.0,0,0.0,6,0,1,0.167,0,1.0,4.0,3,16,5,3.5,0.0,48,1.905,40,0.8,0.05,0.1,0.05,0.0,3,4,0,2,0,6,0.286
ai,FA0069.json,FA0069,21,24,2,2,2,1.0,1.0,1,0.5,0,2,0,0.0,1,1.0,2,0.375,4,0,1,0.25,0,1.5,2.0,4,19,6,3.0,2.0,76,2.286,48,0.667,0.125,0.042,0.042,0.125,4,2,0,3,4,5,0.238
ai,FA0073.json,FA0073,14,15,2,2,2,1.0,1.0,1,0.5,0,1,0,0.0,1,1.0,1,0.333,3,0,0,0.0,0,1.667,2.0,3,13,5,3.0,3.0,39,2.143,30,0.533,0.133,0.2,0.0,0.133,3,0,0,1,1,6,0.429
ai,FA0074.json,FA0074,20,20,2,1,0,0.0,0.0,1,0.0,0,1,0,0.0,1,0.0,0,0.083,8,0,0,0.0,0,1.0,2.0,4,11,6,6.0,2.0,44,2.0,40,0.75,0.05,0.05,0.1,0.05,4,2,0,2,1,6,0.3
ai,FA0115.json,FA0115,18,19,2,1,2,1.0,0.0,0,0.0,0,1,0,0.0,1,2.0,1,0.143,3,0,1,0.333,0,1.0,2.0,4,16,6,3.0,3.0,64,2.111,38,0.737,0.053,0.105,0.053,0.053,4,4,0,2,1,7,0.389
ai,FA0116.json,FA0116,15,17,2,2,3,1.5,0.0,1,1.0,0,6,1,0.167,3,3.0,6,0.6,2,0,0,0.0,2,3.0,2.0,3,14,5,3.0,2.0,42,2.267,34,0.588,0.118,0.118,0.0,0.176,3,0,0,2,3,5,0.333
